country,2020 ranking_Military Strength Power Index,Airforce Strength_Aircraft Strength value,Airforce Strength_Fighter/Interceptor Strength value,Airforce Strength_Attack Aircraft Strength value,Airforce Strength_Transport Aircraft Fleet Strength value,Airforce Strength_Trainer Aircraft Fleet value,Airforce Strength_Helicopter Fleet Strength value,Airforce Strength_Attack Helicopter Fleet Strength value,Land Strength_Tank Strength value,Land Strength_AFV/APC Strength value,Land Strength_Self-Propelled Artillery Strength value,Land Strength_Towed Artillery Strength value,Land Strength_Rocket Projector Strength value,Navy Strength_Navy Fleet Strengths value,Navy Strength_Aircraft Carrier Fleet Strength value,Navy Strength_Submarine Fleet Strength value,Navy Strength_Destroyer Fleet Strength value,Navy Strength_Frigate Fleet Strength value,Finances_defense spending budget value,Finances_External Debt value,Logistics_Airport Totals value,Natural resources_Oil Production value,Natural resources_Oil Consumption value,Natural resources_Proven Oil Reserves value,Manpower_Available Manpower value,Manpower_Total Population value
Singapore,0.7966,235.0,100.0,0.0,9.0,36.0,77.0,17.0,180.0,3000.0,48.0,77.0,24.0,40.0,0.0,0.0,0.0,6.0,11200000000,566100000000,9.0,0.0,1340000,0.0,4017314,5995991
Slovakia,0.8466,47.0,10.0,0.0,7.0,8.0,21.0,0.0,20.0,661.0,16.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,2121817575,75040000000,35.0,200.0,82000.0,9000000,2776970,5445040
Slovenia,1.9496,38.0,0.0,0.0,3.0,23.0,16.0,0.0,44.0,269.0,0.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,581000000,46300000000,16.0,5.0,55000.0,0.0,1002714,2102126
Somalia,4.6404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,30.0,10.0,3.0,0.0,0.0,0.0,0.0,62200000,5300000000,61.0,0.0,6200.0,0.0,2702167,11259029
South Africa,0.4985,226.0,17.0,0.0,23.0,88.0,91.0,12.0,195.0,2000.0,43.0,72.0,50.0,30.0,0.0,3.0,0.0,4.0,4278000000,156300000000,566.0,2000.0,605000,15000000,26250220,55380210
South Korea,0.1509,1649.0,414.0,71.0,41.0,298.0,803.0,112.0,2614.0,14000.0,3040.0,3854.0,575.0,234.0,2.0,19.0,12.0,12.0,44000000000,384600000000,111.0,0.0,2800000,0.0,25709049,51418097
South Sudan,2.3501,19.0,0.0,0.0,2.0,0.0,17.0,6.0,110.0,200.0,24.0,0.0,14.0,0.0,2.0,22.0,12.0,18.0,80000000,2250000000,85.0,150200,60000.0,3750000000,5245155,10204581
Spain,0.3388,512.0,137.0,12.0,46.0,162.0,162.0,19.0,327.0,2023.0,95.0,140.0,0.0,77.0,1.0,3.0,0.0,11.0,15100000000,2094000000000,150.0,2252.0,1226000,150000000,23136275,49331076
Sri Lanka,1.4661,77.0,0.0,0.0,15.0,6.0,54.0,9.0,202.0,570.0,0.0,209.0,22.0,40.0,0.0,0.0,0.0,0.0,2500000000,51720000000,19.0,0.0,90000.0,0.0,10927071,22576592
Sudan,1.3017,190.0,46.0,38.0,22.0,11.0,73.0,43.0,690.0,400.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2470000000,56050000000,74.0,102300,96800.0,5000000000,24061430,43120843
