country,2020 ranking_Military Strength Power Index,Airforce Strength_Aircraft Strength value,Airforce Strength_Fighter/Interceptor Strength value,Airforce Strength_Attack Aircraft Strength value,Airforce Strength_Transport Aircraft Fleet Strength value,Airforce Strength_Trainer Aircraft Fleet value,Airforce Strength_Helicopter Fleet Strength value,Airforce Strength_Attack Helicopter Fleet Strength value,Land Strength_Tank Strength value,Land Strength_AFV/APC Strength value,Land Strength_Self-Propelled Artillery Strength value,Land Strength_Towed Artillery Strength value,Land Strength_Rocket Projector Strength value,Navy Strength_Navy Fleet Strengths value,Navy Strength_Aircraft Carrier Fleet Strength value,Navy Strength_Submarine Fleet Strength value,Navy Strength_Destroyer Fleet Strength value,Navy Strength_Frigate Fleet Strength value,Finances_defense spending budget value,Finances_External Debt value,Logistics_Airport Totals value,Natural resources_Oil Production value,Natural resources_Oil Consumption value,Natural resources_Proven Oil Reserves value,Manpower_Available Manpower value,Manpower_Total Population value
Ecuador,1.0062,108.0,9.0,0.0,22.0,29.0,50.0,0.0,232.0,413.0,15.0,102.0,26.0,19.0,0.0,2.0,0.0,2.0,2500000000,39290000000,432.0,531300,282000,8273000000,7696551,16498502
Egypt,0.1872,1054.0,215.0,88.0,59.0,387.0,294.0,81.0,4295.0,11700.0,1139.0,2189.0,1084.0,316.0,2.0,8.0,0.0,7.0,11200000000,77470000000,83.0,589400,832000,4400000000,42946553,99413317
El Salvador,3.1291,51.0,0.0,15.0,2.0,3.0,31.0,0.0,0.0,125.0,0.0,70.0,0.0,4.0,0.0,0.0,0.0,0.0,167000000,15510000000,68.0,0.0,45600.0,0.0,3106010,6187271
Estonia,2.5893,7.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,181.0,18.0,66.0,0.0,6.0,0.0,0.0,0.0,0.0,685000000,19050000000,18.0,0.0,27500.0,0.0,596014,1244288
Ethiopia,0.8581,86.0,24.0,0.0,9.0,20.0,33.0,8.0,400.0,114.0,67.0,650.0,183.0,0.0,0.0,0.0,0.0,0.0,350000000,26050000000,57.0,0.0,55000.0,428000,41143474,108386391
Finland,0.8498,194.0,55.0,0.0,11.0,105.0,127.0,0.0,200.0,2050.0,100.0,627.0,75.0,246.0,0.0,0.0,0.0,0.0,3570000000,150600000000,148.0,0.0,205000,0.0,2307420,5537364
France,0.1702,1229.0,269.0,0.0,121.0,187.0,589.0,62.0,528.0,6028.0,109.0,12.0,13.0,180.0,4.0,9.0,11.0,11.0,41500000000,5360000000000,464.0,15170.0,1600000,72350000,30111868,67364357
Gabon,3.3736,23.0,6.0,0.0,2.0,0.0,15.0,0.0,0.0,70.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,83000000,6490000000,44.0,198800,16500.0,2000000000,842741,2119036
Georgia,1.6679,66.0,0.0,10.0,2.0,12.0,38.0,9.0,143.0,950.0,69.0,133.0,51.0,9.0,0.0,0.0,0.0,0.0,327000000,16990000000,22.0,400.0,18500.0,35000000,2249744,4926087
Germany,0.2186,712.0,128.0,74.0,71.0,26.0,386.0,56.0,245.0,4583.0,108.0,0.0,38.0,80.0,0.0,6.0,0.0,9.0,50000000000,5326000000000,539.0,43410.0,2500000,145400000,37010559,80457737
Ghana,2.0554,24.0,0.0,0.0,3.0,6.0,13.0,0.0,0.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,710000000,22140000000,10.0,151000,65000.0,660000000,12561805,28102471
Greece,0.5311,566.0,187.0,0.0,15.0,143.0,231.0,29.0,1355.0,3691.0,547.0,463.0,152.0,116.0,0.0,11.0,0.0,13.0,4844000000,506600000000,77.0,2753.0,350000,10000000,4993347,10761523
Guatemala,1.8302,33.0,0.0,4.0,8.0,6.0,15.0,0.0,12.0,135.0,0.0,106.0,0.0,26.0,0.0,0.0,0.0,0.0,240000000,22920000000,291.0,9666.0,85000.0,83070000,7063622,16581273
Honduras,2.0943,46.0,3.0,9.0,11.0,10.0,12.0,0.0,19.0,92.0,0.0,176.0,0.0,59.0,0.0,0.0,0.0,0.0,205000000,8625000000,103.0,0.0,60000.0,0.0,4104696,9182766
Hungary,0.8215,47.0,12.0,0.0,5.0,6.0,24.0,8.0,30.0,944.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,2080000000,138100000000,41.0,14000.0,145000,25100000,4618081,9825704
India,0.0953,2123.0,538.0,172.0,250.0,359.0,722.0,23.0,4292.0,8686.0,235.0,4060.0,266.0,285.0,1.0,16.0,10.0,13.0,61000000000,501600000000,346.0,733900,5000000,4621000000,622480340,1296834042
Indonesia,0.2544,462.0,41.0,39.0,54.0,109.0,177.0,16.0,313.0,1178.0,153.0,366.0,36.0,282.0,0.0,5.0,0.0,7.0,7600000000,344400000000,673.0,801700,1630000,3230000000,130868127,262787403
Iran,0.2191,509.0,155.0,23.0,62.0,94.0,100.0,12.0,2056.0,4300.0,570.0,2088.0,1935.0,398.0,0.0,34.0,0.0,7.0,19600000000,7995000000,319.0,4469000,2000000,158400000000,47324105,83024745
Iraq,0.7911,348.0,26.0,33.0,16.0,102.0,186.0,40.0,309.0,4739.0,44.0,120.0,30.0,60.0,0.0,0.0,0.0,0.0,1730000000,73020000000,102.0,4454000,825000,142500000000,16399240,40194216
Ireland,1.9481,19.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,124.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,870000000,2470000000000,40.0,0.0,145000,0.0,2366779,5068050
Israel,0.3111,589.0,259.0,18.0,15.0,154.0,146.0,48.0,2760.0,10275.0,650.0,300.0,100.0,65.0,0.0,5.0,0.0,0.0,20000000000,88660000000,47.0,390.0,250000,12730000,3647983,8424904
Italy,0.2111,860.0,99.0,110.0,38.0,185.0,439.0,59.0,200.0,6947.0,54.0,108.0,21.0,249.0,2.0,8.0,4.0,12.0,27800000000,2444000000000,129.0,77530.0,1300000,556700000,28011003,62246674
Ivory Coast,2.0236,8.0,0.0,0.0,4.0,0.0,4.0,3.0,15.0,109.0,0.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0,550000000,13070000000,27.0,54000.0,25600.0,100000000,11160747,26260582
Japan,0.1501,1561.0,279.0,12.0,60.0,427.0,637.0,119.0,1004.0,3130.0,238.0,500.0,99.0,155.0,4.0,20.0,40.0,0.0,49000000000,3240000000000,175.0,3841.0,4000000,44120000,53873803,126168156
Jordan,1.1441,278.0,44.0,4.0,16.0,75.0,146.0,47.0,1313.0,2897.0,461.0,72.0,88.0,37.0,0.0,0.0,0.0,0.0,2600000000,29340000000,18.0,22.0,110000,1000000,3346692,10458413
Kazakhstan,0.9098,222.0,76.0,39.0,18.0,18.0,71.0,18.0,650.0,800.0,0.0,300.0,100.0,15.0,0.0,0.0,0.0,0.0,4000000000,167500000000,96.0,1777000,245000,30000000000,8585003,18744548
Kenya,1.5287,150.0,17.0,0.0,20.0,32.0,79.0,0.0,76.0,479.0,30.0,25.0,0.0,19.0,0.0,0.0,0.0,0.0,121000000,27590000000,197.0,0.0,82000.0,0.0,19600998,48397527
Kuwait,1.5701,85.0,27.0,0.0,2.0,13.0,40.0,16.0,367.0,745.0,98.0,0.0,27.0,38.0,0.0,0.0,0.0,0.0,6831000000,47240000000,7.0,2753000,345000,101500000000,1641971,2916467
Kyrgyzstan,1.9244,5.0,0.0,0.0,0.0,0.0,5.0,2.0,150.0,385.0,30.0,141.0,21.0,0.0,0.0,0.0,0.0,0.0,20000000,8164000000,28.0,1000.0,17200.0,40000000,3029935,5849296
Laos,3.4433,33.0,0.0,0.0,2.0,4.0,27.0,0.0,65.0,30.0,0.0,62.0,0.0,36.0,0.0,0.0,0.0,0.0,18500000,14900000000,41.0,0.0,4500.0,0.0,3248143,7234171
Latvia,2.0145,5.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,303.0,47.0,20.0,0.0,18.0,0.0,0.0,0.0,0.0,724000000,40020000000,42.0,0.0,32500.0,0.0,840595,1923559
Lebanon,2.5193,70.0,0.0,9.0,0.0,0.0,55.0,0.0,366.0,2228.0,12.0,374.0,30.0,57.0,0.0,0.0,0.0,0.0,2500000000,39300000000,8.0,0.0,110000,0.0,2135026,6100075
Liberia,5.5737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000,1036000000,29.0,0.0,4500.0,0.0,2226923,4809768
Libya,1.3696,114.0,17.0,2.0,4.0,62.0,26.0,7.0,250.0,450.0,50.0,100.0,55.0,5.0,0.0,0.0,0.0,1.0,3000000000,3020000000,146.0,897100,315000,48360000000,3552871,6754507
Lithuania,1.4752,10.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,420.0,56.0,54.0,0.0,12.0,0.0,0.0,0.0,0.0,1107000000,34480000000,61.0,2000.0,72400.0,12000000,1779322,2793284
Madagascar,3.0869,6.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,103.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,115000000,4089000000,83.0,0.0,18500.0,0.0,10145026,25683610
Malaysia,0.6546,170.0,26.0,13.0,18.0,40.0,65.0,0.0,74.0,1387.0,0.0,211.0,54.0,61.0,0.0,2.0,0.0,6.0,4000000000,217200000000,114.0,647900,835000,3600000000,15201837,31809660
Mali,1.8941,29.0,9.0,0.0,6.0,5.0,8.0,6.0,80.0,248.0,0.0,50.0,32.0,0.0,0.0,0.0,0.0,0.0,70000000,4192000000,25.0,0.0,5500.0,0.0,5991557,18429893
Mauritania,3.0477,28.0,0.0,2.0,6.0,9.0,4.0,0.0,35.0,95.0,0.0,224.0,0.0,5.0,0.0,0.0,0.0,0.0,50250000,4150000000,30.0,4000.0,18500.0,20000000,1555374,3840429
Mexico,0.6065,484.0,3.0,33.0,43.0,206.0,202.0,0.0,0.0,2199.0,0.0,265.0,0.0,189.0,0.0,0.0,0.0,4.0,7000000000,445800000000,1714.0,1981000,2000000,7640000000,60460418,125959205
Moldova,2.1291,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,341.0,9.0,52.0,11.0,0.0,0.0,0.0,0.0,0.0,30000000,6549000000,7.0,0.0,16320.0,0.0,2014503,3437720
Mongolia,2.0299,9.0,0.0,0.0,3.0,0.0,6.0,0.0,470.0,750.0,0.0,300.0,130.0,0.0,0.0,0.0,0.0,0.0,155000000,25330000000,44.0,20000.0,25000.0,0.0,1818609,3103428
Montenegro,2.9941,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,26.0,0.0,12.0,18.0,18.0,0.0,0.0,0.0,2.0,65000000,2516000000,5.0,0.0,4860.0,0.0,146191,614249
Morocco,0.8408,214.0,46.0,0.0,31.0,67.0,64.0,0.0,1443.0,2901.0,505.0,200.0,144.0,121.0,0.0,0.0,0.0,3.0,10000000000,51480000000,55.0,160.0,206000,684000,17157065,34314130
Mozambique,2.3364,16.0,8.0,0.0,1.0,1.0,6.0,2.0,100.0,335.0,0.0,260.0,12.0,8.0,0.0,0.0,0.0,0.0,245000000,10910000000,98.0,0.0,22500.0,0.0,4629744,27233789
Myanmar,0.5691,276.0,59.0,21.0,27.0,82.0,86.0,9.0,434.0,1300.0,108.0,1612.0,84.0,187.0,0.0,1.0,0.0,5.0,2650000000,6594000000,64.0,12000.0,42600.0,139000000,30258643,55622506
Namibia,3.2817,30.0,6.0,0.0,3.0,14.0,7.0,2.0,7.0,410.0,0.0,50.0,4.0,8.0,0.0,0.0,0.0,0.0,505000000,7969000000,112.0,0.0,25000.0,0.0,582642,2533224
